bug.id,revision.id.buggy,revision.id.fixed,revision.date.buggy,revision.date.fixed,report.id,report.url
1,cd10b153b1b3899636a3073a857d1c40fa96fa98,b4d4d168b6077c8c6a35257dee0967fbb85398c5,2015-08-14 22:06:59 +0000,2015-08-14 22:22:47 +0000,BCEL-79,https://issues.apache.org/jira/browse/BCEL-79
2,c0e9f324eacc6bc8bcf3ae307bb659c27b7236b0,48426e0049b01d86b2af3b0cd4c7452a98bbcaaf,2015-07-18 04:24:48 +0000,2015-07-18 04:56:40 +0000,BCEL-187,https://issues.apache.org/jira/browse/BCEL-187
3,a667105d323cfaa5584b8067bd6840a4a39d2b5e,9a09f41b03df238043e0eda59d5cfa11cdd36523,2015-03-07 19:24:02 +0000,2015-03-07 19:38:34 +0000,BCEL-188,https://issues.apache.org/jira/browse/BCEL-188
4,b49c7c0f23436b936c98f5a27ac188a64fd7ab12,d2883e2ade18d07cb76b0bf99d1b9a0aa66afdb2,2015-01-26 23:47:56 +0000,2015-02-04 21:53:42 +0000,BCEL-194,https://issues.apache.org/jira/browse/BCEL-194
5,865b3d516cdde462c8e63a094bad6c7f3ec73d52,21feca713e75b1c486d9fca07aa9aea19410d72c,2015-08-21 11:46:01 +0000,2015-08-21 12:33:44 +0000,BCEL-202,https://issues.apache.org/jira/browse/BCEL-202
6,d2883e2ade18d07cb76b0bf99d1b9a0aa66afdb2,964c0c8fd6abdb4c32c050db3f129edef7232cbe,2015-02-04 21:53:42 +0000,2015-02-05 14:46:49 +0000,BCEL-203,https://issues.apache.org/jira/browse/BCEL-203
7,101996e7ade8d700263b6fc7504ccfcae4884ef6,c070c23750e4720fe44b92237b2b55559619e8ac,2015-02-20 11:11:54 +0000,2015-02-20 14:52:39 +0000,BCEL-207,https://issues.apache.org/jira/browse/BCEL-207
8,9637f8fa7943d19b4108ca63d02de9b50d333c10,35ac47dc112c69259622bf1f702aa809c5307ecd,2015-08-13 20:48:11 +0000,2015-08-13 21:21:12 +0000,BCEL-208,https://issues.apache.org/jira/browse/BCEL-208
9,90867a91054a478d4b87ddfe32103771347c144a,ecdc6f1f11178c29c812ecd5725c2a2818d3f255,2015-08-13 18:58:38 +0000,2015-08-13 19:50:41 +0000,BCEL-217,https://issues.apache.org/jira/browse/BCEL-217
10,5865fdde89b92235cb080637810e178f21bbfc11,2f2698fa5739eba1cdc3bdf8299a754fb98ae871,2016-06-14 08:28:05 +0000,2016-06-14 17:02:22 +0000,BCEL-243,https://issues.apache.org/jira/browse/BCEL-243
11,af89ae58f914f400e198be73bc43ad556681706c,c2f5b0afe28af49f3b0360661545d52df70eac7e,2015-08-20 12:15:46 +0000,2015-08-20 12:19:42 +0000,BCEL-249,https://issues.apache.org/jira/browse/BCEL-249
12,34994d8c0a7bdb157260a51e3d3a6d2a2404ab0c,36066a5695899b6df3272e469658f56827fac461,2015-08-21 11:30:55 +0000,2015-08-21 11:32:35 +0000,BCEL-251,https://issues.apache.org/jira/browse/BCEL-251
13,d370705e0596eb7a00a3642cf79707cf3f4174fa,c4560eabcd60cd0f0e211978036519db748360fa,2015-08-23 16:49:19 +0000,2015-08-23 16:52:06 +0000,BCEL-253,https://issues.apache.org/jira/browse/BCEL-253
14,4904788fde58204d5570dbf2268d8580a5d8d4cf,cc50f64aa8598728365f282056035cfc094e7bbd,2016-06-01 04:33:43 +0000,2016-06-01 04:46:44 +0000,BCEL-271,https://issues.apache.org/jira/browse/BCEL-271
15,8df53e2ef1866726bba923d064319f050413fa49,7ceb5a6b8236517d708d7965f4873344c5630969,2016-07-14 12:56:25 +0000,2016-07-29 08:10:05 +0000,BCEL-277,https://issues.apache.org/jira/browse/BCEL-277
16,d6fbb3d57fe2a1722d2c123f74dca83174f81358,efc4809b7b73febc18cdd8976ff8e9d6d4537ade,2017-08-28 19:05:57 +0000,2017-08-30 19:22:35 +0000,BCEL-283,https://issues.apache.org/jira/browse/BCEL-283
17,54a95d899854ad5a0a7b896f99cd8ba68b89d471,df7a37858bdf7c465d6ba96637558695e42e2fe9,2017-08-30 19:34:23 +0000,2017-09-12 16:36:55 +0000,BCEL-286,https://issues.apache.org/jira/browse/BCEL-286
18,efc4809b7b73febc18cdd8976ff8e9d6d4537ade,93c12bbb6d22a165a407b6184cdb40545f86c683,2017-08-30 19:22:35 +0000,2017-08-30 19:28:20 +0000,BCEL-287,https://issues.apache.org/jira/browse/BCEL-287
