bug.id,revision.id.buggy,revision.id.fixed,revision.date.fixed,report.id,report.url
1,728b4e814ec88cab556533fa114be0efdde963be,004124ac5dbf5edbf925078652526267468821e7,2009-03-26 10:36:45 +0000,COMPRESS-28,https://issues.apache.org/jira/browse/COMPRESS-28
2,f84dd362bbf15c19cb5f3a3b4563951ba529f585,3bb9282d8876aff48148c25ec63536d352f775bf,2009-05-04 09:15:01 +0000,COMPRESS-71,https://issues.apache.org/jira/browse/COMPRESS-71
3,2dca66105a3ec80f99a48ed8c43e3988cc86e84e,a1015f312480c697c8dbc2772e4076eb15e41406,2010-02-18 16:11:13 +0000,COMPRESS-74,https://issues.apache.org/jira/browse/COMPRESS-74
4,dcd81ecc70395aef882e71d7b435bcebdff7d3d9,2318ba308b4d36c493330c9286a86878bc24af55,2009-06-30 07:25:44 +0000,COMPRESS-81,https://issues.apache.org/jira/browse/COMPRESS-81
5,3e2ddad124ea6ab1bc690487793bf88560ca3732,7bb5d8862665e0cc60cee52d2b48ebbd7fca61fd,2009-10-08 12:07:19 +0000,COMPRESS-86,https://issues.apache.org/jira/browse/COMPRESS-86
6,c520d00b707fe6ecf4f3d7d062af09ffea6812e8,dc3fc4703211876fb38cccf55adc92ee5cbc28d0,2009-10-30 05:29:17 +0000,COMPRESS-87,https://issues.apache.org/jira/browse/COMPRESS-87
7,30e1cc85c49860d3f5f26d35c7a90e840f3efe95,d7ea9ff05a28a73508b57f369a0b06b3fab46479,2010-03-12 15:35:44 +0000,COMPRESS-101,https://issues.apache.org/jira/browse/COMPRESS-101
8,5b85bf1c570c545365d1a7690c2faf6a33dbc4cd,1e4034bf41b21852d674e1cc0b845df1feda793f,2010-05-10 14:12:34 +0000,COMPRESS-107,https://issues.apache.org/jira/browse/COMPRESS-107
9,d7398f46ccd552eb315d94bf652cc264ea21799a,35e4e4fb6848ddfa3878270523f3f9336ae7f9b8,2010-06-02 11:00:25 +0000,COMPRESS-113,https://issues.apache.org/jira/browse/COMPRESS-113
10,2419bb55d2683142443626482c85d6086ae3bf72,2d858d5c7cc30313c9c3c8ef4a5e8d34d67a395e,2010-05-17 14:51:17 +0000,COMPRESS-114,https://issues.apache.org/jira/browse/COMPRESS-114
11,80c0d2c08c851350d46c21ebafbbf9d9f5ad67b8,1eb9dbb7fd336b1e8a160977722b570354040798,2010-10-26 09:44:59 +0000,COMPRESS-119,https://issues.apache.org/jira/browse/COMPRESS-119
12,87e51fcbfe6668525a873bf97d98d6135335eb9c,8376ecf5e6ff140f3836c51a910b89504e1c3300,2011-03-23 11:06:43 +0000,COMPRESS-127,https://issues.apache.org/jira/browse/COMPRESS-127
13,bc84d2083e4b1da77547bb4e810a06553e8f0bed,432543da69b1667e5d92186551b50b7ab9ec1307,2012-02-23 01:30:56 +0000,COMPRESS-131,https://issues.apache.org/jira/browse/COMPRESS-131
14,30e980d49a24caa3b4077dd3f76928825cb171c0,b4d7505f8eb531a70d0a56e2b76b36bc302b212b,2011-07-13 13:53:18 +0000,COMPRESS-139,https://issues.apache.org/jira/browse/COMPRESS-139
15,04e132b74b62cac7bb2d171825d5975e4fbfc155,d48f106f8758056606e5d50d20f3893978d693a1,2011-08-03 13:36:01 +0000,COMPRESS-152,https://issues.apache.org/jira/browse/COMPRESS-152
16,65837142a3cd20a9253dba4d21e547866dc1224b,ec0f5850f8342c0b1eecb20eca7286a9a4a362e1,2013-01-01 18:33:33 +0000,COMPRESS-159,https://issues.apache.org/jira/browse/COMPRESS-159
17,ec0db741b7e53d6fbe3887f8720f76a625d2277f,fdac1475918e93444b08a024d096b4ec39d6733d,2011-10-23 12:15:13 +0000,COMPRESS-160,https://issues.apache.org/jira/browse/COMPRESS-160
18,347660646cfad588481c13058842d49fa3779f84,5dad11262d3331060cdb5fe1081079bdb5696f3f,2011-12-07 11:34:34 +0000,COMPRESS-163,https://issues.apache.org/jira/browse/COMPRESS-163
19,8cece7223349341d5ab44234d1f62897cb849511,347660646cfad588481c13058842d49fa3779f84,2011-12-05 15:39:52 +0000,COMPRESS-164,https://issues.apache.org/jira/browse/COMPRESS-164
20,00cc49e76b4cb5837f91bdcae2b3dff6a2809f2a,a933173f486614073b68b6c0a6ef09a9c72c94fc,2012-01-29 20:56:50 +0000,COMPRESS-171,https://issues.apache.org/jira/browse/COMPRESS-171
21,a6b146b8be8ae44b9bc6767c35445f9d8e35cd4e,7ee6b67c1983aa06e4585eb76fab0d7441fe0a3d,2012-02-22 23:42:49 +0000,COMPRESS-175,https://issues.apache.org/jira/browse/COMPRESS-175
22,576bd034787ca2f7367127432e4b53737d6e690f,c75c10faae27781aeb51713f42153cad1fd242a4,2012-02-28 05:00:26 +0000,COMPRESS-176,https://issues.apache.org/jira/browse/COMPRESS-176
23,16dc21b6733605571e762e8b5ecae8d960170a97,915e8ef9a42c4fc2561917116620543402cace91,2012-02-23 00:36:15 +0000,COMPRESS-179,https://issues.apache.org/jira/browse/COMPRESS-179
