bug.id,revision.id.buggy,revision.id.fixed,revision.date.fixed,report.id,report.url
1,1b6872df5dc7912b906ad35f7e3c850946325f08,1afa3ff0ba0cc7b939d4b4edeaa8364186c30e78,2006-08-21 00:35:13 +0000,DBCP-100,https://issues.apache.org/jira/browse/DBCP-100
2,d2d82f3d98f58182af84223171385bf13e27408c,583c892a0281ef179ba36cc21d37a08f5a4259ac,2006-09-18 02:55:50 +0000,DBCP-116,https://issues.apache.org/jira/browse/DBCP-116
3,72de43241fd869925c6373629f9e96a8e791a898,265aaffe456b7fbf4b29c0feb498581deddb90e7,2007-07-23 19:53:27 +0000,DBCP-225,https://issues.apache.org/jira/browse/DBCP-225
4,2ef52ac20a3c43d56fba4c02e86a9698cb2f2bc6,6c791ff801e8ff827558ea1294b2870f6803f9e6,2009-02-19 15:46:03 +0000,DBCP-235,https://issues.apache.org/jira/browse/DBCP-235
5,8353df8d8a56e9862d0d3602ff73aa2a04b08fb4,b80a6ef7dd0277d1654ec502883bfe59c1f4c264,2008-02-04 03:58:08 +0000,DBCP-237,https://issues.apache.org/jira/browse/DBCP-237
6,ecb424b0d342f70830e0cd80c273669c4da402b3,7778df22c95908e772ee5064817b19c7d6707edc,2009-02-22 03:34:59 +0000,DBCP-242,https://issues.apache.org/jira/browse/DBCP-242
7,335f464004173813a4f2c8eada085d6c9775ed4e,8353df8d8a56e9862d0d3602ff73aa2a04b08fb4,2008-01-29 02:29:00 +0000,DBCP-245,https://issues.apache.org/jira/browse/DBCP-245
8,68c3025926ba803203640f4621403187cc9746cd,aa153ade0fc11ee7bf2c866e45b8411ae541c1c6,2009-01-27 22:41:49 +0000,DBCP-264,https://issues.apache.org/jira/browse/DBCP-264
9,a53a60e809e6453e2c66219d7de643b4039d9233,c8034fa0290b3690e31e933402ee049af9aa39d0,2008-06-16 20:25:17 +0000,DBCP-269,https://issues.apache.org/jira/browse/DBCP-269
10,c8034fa0290b3690e31e933402ee049af9aa39d0,4bf62b339ef3a30dac10160da76905222063485b,2008-06-27 02:48:06 +0000,DBCP-270,https://issues.apache.org/jira/browse/DBCP-270
11,c7223e9589f41d21d137287a66ed1c59fb253f49,0aac9b6640a269539ecaa859e7fc0b496f79bd05,2009-02-18 18:30:14 +0000,DBCP-272,https://issues.apache.org/jira/browse/DBCP-272
12,ca315f63c54c1082cbe37bad1ed09b73abc65d3e,65d90f77397b85c3e6933318cec38946c5c36879,2009-03-13 18:41:33 +0000,DBCP-284,https://issues.apache.org/jira/browse/DBCP-284
13,6a8bbe29dfce9b6c31c12c80f05862e9ba1a59ab,f3455a36f85a35d7e2fa6b372f5bf962aa21df93,2009-06-21 16:41:18 +0000,DBCP-288,https://issues.apache.org/jira/browse/DBCP-288
14,e615ee5f12f39cf8f0b14ec82395a2e6b81067c0,bb1ec7ed9dc6349270281913792cf2f39b53f2bc,2009-10-25 16:26:24 +0000,DBCP-294,https://issues.apache.org/jira/browse/DBCP-294
15,b925ccfbaeb9528d1c7e56aa8cdf4e52af8afd4c,37d1f284aa969393149b625e2ff48a28268093b2,2009-11-10 23:01:56 +0000,DBCP-303,https://issues.apache.org/jira/browse/DBCP-303
16,4c1d9fb1e8531e77933219660f8c1e2e78b53ea5,75a7cd821efb8ca2db7020878580bcb0e4f575c3,2014-02-03 13:50:41 +0000,DBCP-355,https://issues.apache.org/jira/browse/DBCP-355
17,11ff32ba0cb90d3549e8f3066ddcb1832b7de164,42b0cfd4e0febb6df6c94b621e593cad13736c36,2014-02-04 13:44:12 +0000,DBCP-358,https://issues.apache.org/jira/browse/DBCP-358
18,efdfaf48dd46e78fe507cd005db33e7e877f8824,d70c24733160cbc65329d9f68630230b681995bf,2011-05-03 00:40:07 +0000,DBCP-359,https://issues.apache.org/jira/browse/DBCP-359
19,615abdb3e4f570275d1839d7649dcfd94e7d11ed,006d0566af0726b8ca5bdb07e28c4065b95238b6,2013-10-31 18:32:51 +0000,DBCP-403,https://issues.apache.org/jira/browse/DBCP-403
20,41f37cd4767703fa3bdcdd13a7ad1e949b2772a3,0b1f5468e45d5a08f948ff77525d3ff4c44cb68a,2014-05-03 00:12:47 +0000,DBCP-417,https://issues.apache.org/jira/browse/DBCP-417
21,3b03a9a90fbf7f0d086f45aa077a62aed6835765,3f6f7ba9f585052b07f2b6c7a1fa5e5e2b77a67b,2014-12-31 16:01:41 +0000,DBCP-428,https://issues.apache.org/jira/browse/DBCP-428
22,5e15bc7427d4ddff47839ee4828bf27f3d680f81,6f1d24654cf889d068f119b5b0cbcb9a8b8736f9,2015-02-04 13:42:53 +0000,DBCP-432,https://issues.apache.org/jira/browse/DBCP-432
23,d4d99dffbdc2bc0ebe64a78b76902cd535ff1a05,c491c2db84c1a62624f110dc177c12433f157f98,2015-02-10 02:49:54 +0000,DBCP-433,https://issues.apache.org/jira/browse/DBCP-433
24,aacdf02f8c783ee97bc7278b71c4c7c359c20e99,ef1f039ceab31bb7002454bce07f8fab17b8dff6,2015-02-13 04:00:39 +0000,DBCP-434,https://issues.apache.org/jira/browse/DBCP-434
25,4eacebfa9bf96ee33891adafaf992b5d82ccddca,7085fe1d0559de673ed7f5b4cf506b0fa8c582b8,2015-04-24 00:34:03 +0000,DBCP-437,https://issues.apache.org/jira/browse/DBCP-437
26,e1f732a6dc9ad194ca6c89bab45ad2d54c963a1b,9ae844dbf476eba54ac52d9842cba0505c4c6666,2015-07-19 23:15:15 +0000,DBCP-438,https://issues.apache.org/jira/browse/DBCP-438
27,0f656aa336092cfb1662560da39c07bf575b2ebe,6bcbadcc35c5f78cc04d6916beab6c5e10a1a016,2016-07-21 03:55:02 +0000,DBCP-446,https://issues.apache.org/jira/browse/DBCP-446
28,43a6189c381c64f6c4308b4b19f5f05ab42c257d,4475a0022d22d7a0433983546f89e7f58c713382,2016-03-17 14:30:55 +0000,DBCP-453,https://issues.apache.org/jira/browse/DBCP-453
29,6641cc08d9568fcd6a291cab8cb0a7c4860e43b6,8408716a7f2909eab4618ac2ab6e9a1565a993d0,2016-11-03 09:38:09 +0000,DBCP-457,https://issues.apache.org/jira/browse/DBCP-457
30,e6543480ad73e45c7f02710b0ee15352664e118a,861879edc67cdf244d1f7d1ea927f7c1a9399263,2016-11-03 09:01:35 +0000,DBCP-459,https://issues.apache.org/jira/browse/DBCP-459
31,a2042657406bddbd50fd6d884be65e1b4999b8a3,0b5b1be810baf881d835ef2a96d55f54f537a6a5,2016-11-02 21:24:45 +0000,DBCP-472,https://issues.apache.org/jira/browse/DBCP-472
32,baa2adbd33b09089c1b9d728d7726e806919a668,131e4926b7a31fff3c6bead10bbe6dcd15e32bf9,2018-05-21 14:43:53 -0600,DBCP-484,https://issues.apache.org/jira/browse/DBCP-484
