bug.id,revision.id.buggy,revision.id.fixed,revision.date.fixed,report.id,report.url
1,5e4b91b1451aed5f1e78d1d8b93f814867071900,5c66a672f4d268990de569f226eb0c4aec57268d,2011-06-23 15:04:01 +0000,DIGESTER-18,https://issues.apache.org/jira/browse/DIGESTER-18
2,0a7cf4287e6d603e3533c0693e5b179a08d32397,ce2ae1735b3c63fb0947a020a1e058f8789bae70,2007-08-21 16:41:16 +0000,DIGESTER-114,https://issues.apache.org/jira/browse/DIGESTER-114
3,660c08c4eaf9b34d596253217b5ab2b2276853da,41021806a9b0c51dd1a703b863c7b3124a5547a1,2008-03-15 14:45:04 +0000,DIGESTER-120,https://issues.apache.org/jira/browse/DIGESTER-120
4,225b61e5c4084402e5c130531cefbb6f9a2a69f5,c6ed030f22ef9632b6323389c982a672ae0451b6,2008-06-09 15:01:34 +0000,DIGESTER-125,https://issues.apache.org/jira/browse/DIGESTER-125
5,6d65751686b50fe723c689b3b1ea36aa019a5de2,1c6b4761a56cb5a2006064d93d4196e47c432bab,2008-12-23 06:27:54 +0000,DIGESTER-126,https://issues.apache.org/jira/browse/DIGESTER-126
6,95c73afbaf62bc986127dd068aa0cae8ade360b7,0db94306270fd99b6c1fae904a2c1f88d4e68f29,2011-06-27 13:30:06 +0000,DIGESTER-133,https://issues.apache.org/jira/browse/DIGESTER-133
7,16563e052948fbb1e91005dc62b4c516c23b3c4f,1e725084aa52844723cfb65662d54ef2dda2f135,2011-12-04 00:08:27 +0000,DIGESTER-159,https://issues.apache.org/jira/browse/DIGESTER-159
8,53aab7770cd3f4d590e8d61d4bddbac77f9bf190,3d51f8e3df413ff487bc4ace382cad5e22a9a1f5,2012-02-25 21:48:02 +0000,DIGESTER-162,https://issues.apache.org/jira/browse/DIGESTER-162
9,8f8e1d75f88de42a4a92b67081ddb397abd24ff1,0c5de32c657ad3b1e2f2ab6a0949ecc2c354092b,2012-09-07 18:19:16 +0000,DIGESTER-167,https://issues.apache.org/jira/browse/DIGESTER-167
10,a7edb263f4755ebafdbb2d02083a92b29f8b5e1b,8f8e1d75f88de42a4a92b67081ddb397abd24ff1,2012-09-07 18:03:12 +0000,DIGESTER-169,https://issues.apache.org/jira/browse/DIGESTER-169
11,67bc6ba3f34a4b98d518394df45f6e68e513d59b,5b8a1da763d387a7e8e2c7c9c0c2c1744e579601,2012-11-06 11:48:36 +0000,DIGESTER-174,https://issues.apache.org/jira/browse/DIGESTER-174
12,0345aaace8773fc0eb7bb0c4cb8ea76155a66f7b,cf0e5a5364d13c840a8a21fd23ce87410266ea8b,2012-12-21 21:27:00 +0000,DIGESTER-175,https://issues.apache.org/jira/browse/DIGESTER-175
