bug.id,revision.id.buggy,revision.id.fixed,revision.date.buggy,revision.date.fixed,report.id,report.url
1,e682197aad5cf40bc37cedbf2d98251ca6e01b5a,de89793edd1118490a40a81ba81d9570971cc08d,2011-06-08 08:01:13 +0000,2011-06-23 13:13:38 +0000,GORA-32,https://issues.apache.org/jira/browse/GORA-32
2,7158877fd653febff775bbe2e0a2aadb8f6c5222,7ed697bb7c6d4c57d70993963c3996e112eac296,2011-10-24 17:41:31 +0000,2011-10-26 10:15:05 +0000,GORA-48,https://issues.apache.org/jira/browse/GORA-48
3,5b939b021c92a1398450a8417b7fe63f8d07ac9a,1be4d216dc9f2e93348e3f44417628cb9471f223,2011-11-01 11:53:21 +0000,2011-11-17 13:37:35 +0000,GORA-56,https://issues.apache.org/jira/browse/GORA-56
4,1be4d216dc9f2e93348e3f44417628cb9471f223,89c8319064d79cc9ef3684ff30774242957aa7e1,2011-11-17 13:37:35 +0000,2011-11-17 13:41:22 +0000,GORA-57,https://issues.apache.org/jira/browse/GORA-57
5,3a2e1ccfe1bc4338b7425e075341c135c3c0c0dd,9b632c5e1a951fbf06126063a3cee9ed65bea9a9,2017-04-17 02:36:12 -0300,2017-05-10 14:37:19 +0530,GORA-310,https://issues.apache.org/jira/browse/GORA-310
6,0778e56715bfa2039f5872e82f102336fe1f00c0,148ca981db5e2abbfbd128b5a8419ec5344ffdc7,2014-06-10 15:42:59 -0400,2014-06-12 16:52:32 -0700,GORA-331,https://issues.apache.org/jira/browse/GORA-331
7,148ca981db5e2abbfbd128b5a8419ec5344ffdc7,4ac1171d854bcf27ca29e5da57b90916db955b98,2014-06-12 16:52:32 -0700,2014-06-12 16:57:50 -0700,GORA-332,https://issues.apache.org/jira/browse/GORA-332
8,a497d14c1bb59672954d5f16e91154ac8dc5a726,deda3f4a83986ba0ea6c31bf7ad6cd198e8f0bf7,2014-06-09 19:45:29 -0400,2014-06-10 14:34:11 -0400,GORA-336,https://issues.apache.org/jira/browse/GORA-336
9,68beaa7ff37c913c5071d4317b8f89292e69bb9d,64443cc75f7e10ba91788c53befb0411a8c122a4,2014-06-20 15:07:11 -0400,2014-06-25 17:17:32 +0200,GORA-348,https://issues.apache.org/jira/browse/GORA-348
10,e00f420fbc0d3d89c4c8cc76509d501622c17b3e,d61a1735e3fdaeff00c4ecad85905e335651bafa,2014-06-26 23:40:48 -0700,2014-06-29 16:59:56 +0200,GORA-350,https://issues.apache.org/jira/browse/GORA-350
11,3cacf2a25f2f8937284d50805eeb353bf5a1eabc,92b88415820001da61e0a94aa526db3622b576dc,2014-08-15 16:50:50 -0700,2014-08-15 18:46:43 -0700,GORA-353,https://issues.apache.org/jira/browse/GORA-353
12,d1a921204e45bb796f269cfd80c558c0167efd63,86d8f8f13afd91536e8063badf3cf61281ae1354,2014-07-21 18:46:53 -0700,2014-07-30 00:22:37 -0700,GORA-361,https://issues.apache.org/jira/browse/GORA-361
13,22b5cf8e5bcd0c974167a1a5cf03a0771f30790a,89c025d2f9e4ba19378eb15537104c8775bf2474,2014-07-31 11:12:58 -0400,2014-08-06 00:41:44 -0700,GORA-364,https://issues.apache.org/jira/browse/GORA-364
