bug.id,revision.id.buggy,revision.id.fixed,revision.date.fixed,report.id,report.url
1,8847edc67390b817f611b22f9c211c423983d3d4,eaa8e0c698f694b7e5fdded5dbb9024c8cf15c4e,2006-08-25 21:39:06 +0000,IO-83,https://issues.apache.org/jira/browse/IO-83
2,eaa8e0c698f694b7e5fdded5dbb9024c8cf15c4e,0a03609ddc6380dd7c9053eb8cb04072baa476a1,2006-08-26 00:08:08 +0000,IO-90,https://issues.apache.org/jira/browse/IO-90
3,a12dd6e3f27c3be0bb02f618dc3ae132bf6e92c9,b4b470096a39bfa51d33782f442505383ecc5e79,2006-10-07 11:56:25 +0000,IO-93,https://issues.apache.org/jira/browse/IO-93
4,f732c9a50cbaf0675e8b1846c8d3480c06f297a2,9c18390762527fe8d1bf7af8ded586566cdbb59c,2006-12-05 01:13:05 +0000,IO-99,https://issues.apache.org/jira/browse/IO-99
5,d981b95df458230c30beffa819f3110274bbf7fe,403949d8075f3aca227825b69de2de21342071e9,2007-02-04 22:15:11 +0000,IO-112,https://issues.apache.org/jira/browse/IO-112
6,f6e765472ee65bf856ebc53a6c5c03762d4e5cf2,4576857e33fc0aa9682ba77a6e464213ec15b829,2007-11-20 12:13:31 +0000,IO-136,https://issues.apache.org/jira/browse/IO-136
7,28757199c60f09e6dafcbdc788d3ee3c8595bac5,2f8d0922c8c7d1be2c12fba6264f08acdbae47d1,2008-01-05 15:05:55 +0000,IO-141,https://issues.apache.org/jira/browse/IO-141
8,33ab3ce04a4a7e358d33a178631ae467cbf55f17,50f9c9370c1286039fb6750e08e0fcbc20c6adc0,2008-01-03 04:47:17 +0000,IO-147,https://issues.apache.org/jira/browse/IO-147
9,58db1d1a55827a211865f0bc73a529e1b1d0ffdc,ed01f165f9bbb7ccbd48dde7dd3106eb044dd859,2010-09-29 03:44:01 +0000,IO-166,https://issues.apache.org/jira/browse/IO-166
10,ee8a7df94a2b9f928c4a50e55291e427e363f76d,63213c888b3a47036105bfa9caddf63f73cd695d,2008-12-04 03:30:23 +0000,IO-175,https://issues.apache.org/jira/browse/IO-175
11,0b86b74abdfdc8165eec057be2c579be40aea038,d55dd62cc0b07e1124369d74dd0095cc2b491dfe,2008-11-29 01:50:11 +0000,IO-179,https://issues.apache.org/jira/browse/IO-179
12,b0c65975278d1d6f5297f3fa2470dbc8a563e16b,d577693e0a85d59d7d0ac9458bf84eb1678efde1,2010-03-06 01:57:43 +0000,IO-187,https://issues.apache.org/jira/browse/IO-187
13,a8e9eef627d00022fe6a6bbda64a9478c6b89dab,e295faec880b136d5c19d4164c17d768d7037af7,2010-09-29 18:13:37 +0000,IO-190,https://issues.apache.org/jira/browse/IO-190
14,79c97ab6a11d8c67914982bf2efdc82009de977b,94d8c10b757a5f85012916255bb43d49f854a3c8,2010-10-04 01:11:27 +0000,IO-201,https://issues.apache.org/jira/browse/IO-201
15,e697954454b3b3c5f44ca0dbdafd55612b705dbc,5526f2ed85647269b94d91353d72469822925b4e,2010-03-05 01:27:08 +0000,IO-207,https://issues.apache.org/jira/browse/IO-207
16,4353d481a16f046a19be7995e99bbc6edc18ddad,4286199ac5ad636d11f4428d1827b78d94217e06,2010-09-28 23:54:26 +0000,IO-217,https://issues.apache.org/jira/browse/IO-217
