bug.id,revision.id.buggy,revision.id.fixed,revision.date.buggy,revision.date.fixed,report.id,report.url
1,87ee821a5d73b836d89203e15cec2ea86cbe2992,ec4a0fdfac5f8e27aec46f9e04a255cf31b40686,2007-01-17 03:56:33 +0000,2007-01-27 07:11:08 +0000,LANG-69,https://issues.apache.org/jira/browse/LANG-69
2,9926c441aefc148b08a5a3ef077097cefcc3f16c,116463ba4f988ad7dda289bf6e2ff53c6570f0ef,2006-09-19 20:48:58 +0000,2006-09-19 21:20:56 +0000,LANG-262,https://issues.apache.org/jira/browse/LANG-262
3,e91541fcbd89dc0567281127c950a8d9ead7189b,1d5c03fac601d6ce291c3fe3e5e51a11881e2fc0,2006-10-04 18:51:33 +0000,2006-10-07 00:22:42 +0000,LANG-281,https://issues.apache.org/jira/browse/LANG-281
4,8fde2caf64c323eb0422f7547de14ca7b1ee7a54,d8b6f5b5c6b92adff8965ab634b672e7b333f583,2006-10-24 21:02:56 +0000,2006-10-31 21:34:03 +0000,LANG-292,https://issues.apache.org/jira/browse/LANG-292
5,d8b6f5b5c6b92adff8965ab634b672e7b333f583,8e52e2169b20f7bc3c6c520d4f0c98e5bf06b076,2006-10-31 21:34:03 +0000,2006-10-31 22:15:00 +0000,LANG-294,https://issues.apache.org/jira/browse/LANG-294
6,aaaa779108e445c028e91372a8c8709c7746cf72,9b0b19a9162ae8d217b06716962b982703ab4d1b,2006-12-12 22:11:41 +0000,2006-12-12 22:34:39 +0000,LANG-299,https://issues.apache.org/jira/browse/LANG-299
7,868dd284443b6f950a2f360b0422dbf09a599ae9,15360774099b2a7230e020751acdf6979b6e3f58,2006-12-13 07:12:38 +0000,2006-12-19 21:50:04 +0000,LANG-300,https://issues.apache.org/jira/browse/LANG-300
8,848a8144bc42fddbbc466a38a897f5c09f0d49e2,cf20d13c64da51becd1351befe02a06144fd6fc1,2006-12-22 19:51:19 +0000,2006-12-22 20:34:37 +0000,LANG-304,https://issues.apache.org/jira/browse/LANG-304
9,77a3c20bc0f30ca44f30aadad7f8ef0bc2528d0b,75d931a3264b73caa9cdd7d3373375cc33008ddf,2007-04-20 05:11:46 +0000,2007-05-01 23:50:01 +0000,LANG-328,https://issues.apache.org/jira/browse/LANG-328
10,2ca0eff93cff4f4897d9346fe52fa59961f73352,60fe05eb7a32a4a178f4212da6a812c80cedce82,2007-09-05 10:06:41 +0000,2007-09-05 10:13:49 +0000,LANG-334,https://issues.apache.org/jira/browse/LANG-334
11,2dfca4a424fe60e2bbb99cf5e0a5f9352142cc08,050fe8e916507c9716983868284d64e58c1b56d2,2007-08-01 03:04:42 +0000,2007-08-09 00:24:59 +0000,LANG-346,https://issues.apache.org/jira/browse/LANG-346
12,e220a58ff2d8017cc8b378e36e92695af30a71e7,659b20c0375b574a5d2b9e14f66c975405bfee42,2007-11-12 21:31:02 +0000,2007-11-12 22:54:02 +0000,LANG-360,https://issues.apache.org/jira/browse/LANG-360
13,ed7e9b43494e490a51c25c410b2950005fd685ea,c22d9d59e5b86c33f91d7fa93d71cdc514c2edd9,2007-10-25 06:25:02 +0000,2007-10-26 06:08:54 +0000,LANG-363,https://issues.apache.org/jira/browse/LANG-363
14,9da40ba6b5bcc7b6071fa7fe11eaeb1b97e53d81,796b898281af571a510d96487dcd95699ac1e435,2007-10-26 06:14:10 +0000,2007-10-27 05:07:45 +0000,LANG-365,https://issues.apache.org/jira/browse/LANG-365
15,127e6e338f088b82eea1967d31c1abf8d51a364f,72f88548f894fc941bc847a27a4b451c6d97b255,2007-10-31 03:58:52 +0000,2007-10-31 04:04:32 +0000,LANG-367,https://issues.apache.org/jira/browse/LANG-367
16,43cf3f491e7b9b42dc4a5fa4d7bc00cef1d38f7e,127e6e338f088b82eea1967d31c1abf8d51a364f,2007-10-30 15:06:54 +0000,2007-10-31 03:58:52 +0000,LANG-368,https://issues.apache.org/jira/browse/LANG-368
17,ea4ce1628920e69f9474157e0a31e3250ee2ef48,bee5b923c54e59f877d392e35cb04ab62484c723,2008-01-05 06:33:12 +0000,2008-01-06 23:58:59 +0000,LANG-381,https://issues.apache.org/jira/browse/LANG-381
18,2e8e3f46ba0a41d95c38875cf6a7153816262123,1fe5439baf32af2114958e3cfc3512bd72c84773,2008-02-06 21:24:46 +0000,2008-02-13 05:44:46 +0000,LANG-412,https://issues.apache.org/jira/browse/LANG-412
19,04f767b393b5849185f4ddf8f7ae8fc0b255e9bf,4342bd5d69d122a16c735416039b4b2ca27897ad,2008-05-11 04:54:36 +0000,2008-05-11 05:18:02 +0000,LANG-419,https://issues.apache.org/jira/browse/LANG-419
20,15d50cf864c13468d81c7b2370ac5c8a7dc26d16,3c4f60d71bc4bee0158d713be93c2151411d2e98,2011-02-24 21:22:48 +0000,2011-03-01 06:31:41 +0000,LANG-428,https://issues.apache.org/jira/browse/LANG-428
21,4796a0a79259bbaf4fdab61dd158cb658e6a8d44,b5749b4f54b30c0c2050e456c12cfcf516434f13,2015-05-01 20:11:23 +0200,2015-05-01 20:26:42 +0200,LANG-456,https://issues.apache.org/jira/browse/LANG-456
22,6f27e9bbd119e419fa417b9446abe7aae0fb9624,3ed99652c84339375f1e6b99bd9c7f71d565e023,2008-09-04 22:09:13 +0000,2008-09-16 16:03:14 +0000,LANG-459,https://issues.apache.org/jira/browse/LANG-459
23,56463552475746e982e46f54c1b18487ef434c17,9adbbb0bbfe1d76549dd8b6704f183dacb1de29f,2009-11-13 20:17:47 +0000,2009-11-14 10:10:19 +0000,LANG-467,https://issues.apache.org/jira/browse/LANG-467
24,eb8b39b145d863e8fca833c13479e466ad405c61,a38e2e942d622c1a84ed35bedb9aba045db7ab79,2008-12-05 16:34:26 +0000,2009-01-09 22:05:14 +0000,LANG-477,https://issues.apache.org/jira/browse/LANG-477
25,00fee20efcd5d1e79cfcac501f19f2163a34fd09,c0683957931ffa3df218ff68ca31e257174a6466,2009-01-29 22:00:55 +0000,2009-03-01 20:54:40 +0000,LANG-480,https://issues.apache.org/jira/browse/LANG-480
26,cfff2579f5cd4e92c46f8790b9185a45e91fd783,1a60c21395fe7648188d1c91f62ac7baefa12742,2010-03-19 21:08:06 +0000,2010-03-20 20:16:57 +0000,LANG-606,https://issues.apache.org/jira/browse/LANG-606
27,99081448740c1bfdafc51d4b3ce14e3b3e6db405,b82ab99340a46e28320d6b48dd1d5e6fc3bce98e,2011-08-02 06:14:57 +0000,2011-08-02 06:57:04 +0000,LANG-626,https://issues.apache.org/jira/browse/LANG-626
28,2270d830fda743de1ce8a61e33b9542cb39a0f4b,345b4836f6e34ba29564dbead73ede2f2309aa74,2011-01-17 04:30:05 +0000,2011-01-17 05:33:33 +0000,LANG-646,https://issues.apache.org/jira/browse/LANG-646
29,2658d6911f4869e04e6decb8eec238d32e9923d7,a28a5c875f333849579a95ec29804f4bdb77e925,2010-11-09 17:35:47 +0000,2010-11-13 15:54:30 +0000,LANG-659,https://issues.apache.org/jira/browse/LANG-659
30,7df70a8c6b14452767ac932a14640e32a1dc16da,8e2f4ddb9a1ecd7a1bf7d752c2c891d630287036,2010-12-18 12:43:54 +0000,2011-01-01 06:56:59 +0000,LANG-664,https://issues.apache.org/jira/browse/LANG-664
31,dd84146bd1453e283b3b49653461ee5077f1c296,edcfd40d71568a47b7b3dd857265517f8a5c3df0,2011-03-09 15:43:11 +0000,2011-03-16 03:53:22 +0000,LANG-685,https://issues.apache.org/jira/browse/LANG-685
32,c98fbe27b2822e669461a061ee916e7ce5bf188f,41326bf5266ecc6472bab28481b77cecd6f7fb5c,2011-08-23 12:17:26 +0000,2011-08-23 12:32:52 +0000,LANG-746,https://issues.apache.org/jira/browse/LANG-746
33,81797ed4402a982f90bd903c7437aeea4e3933f5,e9429c05e1a4797383fb405928088d2f8563ff97,2012-02-29 14:24:56 +0000,2012-02-29 14:39:01 +0000,LANG-788,https://issues.apache.org/jira/browse/LANG-788
34,8c84cfda26c23af0d7106d6fec17c36a4853bfd4,9c7b0fb8e681b901e5fc40c699e4730855f2c14d,2015-04-03 11:46:06 +0000,2015-04-03 12:01:59 +0000,LANG-794,https://issues.apache.org/jira/browse/LANG-794
