bug.id,revision.id.buggy,revision.id.fixed,revision.date.buggy,revision.date.fixed,report.id,report.url
1,445d94e08d2e81d972f2ecbf85aaa52304f36e4d,9ebfb870a2edb2fbf2741928efc53c2deb352e90,2006-06-05 03:02:49 +0000,2006-06-05 03:06:52 +0000,MATH-60,https://issues.apache.org/jira/browse/MATH-60
2,00b139a1c49c230bfb7b0f1ec5b8c22d560d3447,075008dcd42adcc6924d048a376e611f9219e52b,2006-07-06 04:47:23 +0000,2006-07-06 05:10:49 +0000,MATH-85,https://issues.apache.org/jira/browse/MATH-85
3,3ebd273440c9854c36b635169c96202437c99b33,7ec35cf7f5d760cb6b31928c2622d528af11e406,2006-07-02 20:31:25 +0000,2006-07-04 08:09:25 +0000,MATH-151,https://issues.apache.org/jira/browse/MATH-151
4,55b2cc8c039d659da8f4d8af332814043d084a3b,409d56d206891f76a3e751e4dcdcd22a8c898acc,2007-04-05 14:48:48 +0000,2007-04-05 15:19:57 +0000,MATH-153,https://issues.apache.org/jira/browse/MATH-153
5,13eb8cca1711cb01e6d95fe86906a9a8be18aee4,b8b6c66e1caceb44ce7250c999e63a12659a45e4,2007-07-16 01:21:45 +0000,2007-07-22 02:33:08 +0000,MATH-167,https://issues.apache.org/jira/browse/MATH-167
6,fb4949bd078ab201835dc932eec27557f0b9102a,a3dc59a94da24e46c252453f08c4b4b4a91c3ce7,2008-01-07 03:15:46 +0000,2008-01-09 05:16:00 +0000,MATH-175,https://issues.apache.org/jira/browse/MATH-175
7,630d9afa3cca0413fff0ec8bdac471b1a171bbfc,9fec47b79bbb40a78eb79e5a66716697c91ae0be,2008-02-01 09:47:34 +0000,2008-02-01 12:02:12 +0000,MATH-182,https://issues.apache.org/jira/browse/MATH-182
8,3c9e28e533d86486779419c2124d97fb643d1078,8eba63863c102b144fe43d008baf719997599fc9,2008-02-10 21:10:30 +0000,2008-02-11 01:04:48 +0000,MATH-184,https://issues.apache.org/jira/browse/MATH-184
9,812b7db1748037bce86a5f87620eb16e38703be1,0152e67e9eb57de2da0df28f396c9e36cd6e12c4,2008-02-02 16:39:18 +0000,2008-02-02 18:01:29 +0000,MATH-185,https://issues.apache.org/jira/browse/MATH-185
10,07b329c5fd484d63106bf80c155bbbbbfb3b241e,cd5f65c4c7bd17d81ecb3924f444f2078a3ff580,2008-03-14 06:41:17 +0000,2008-03-23 12:22:59 +0000,MATH-198,https://issues.apache.org/jira/browse/MATH-198
11,cd5f65c4c7bd17d81ecb3924f444f2078a3ff580,faead6c3fbe343ba97e70f8eda74a488c916b29a,2008-03-23 12:22:59 +0000,2008-03-23 13:36:03 +0000,MATH-199,https://issues.apache.org/jira/browse/MATH-199
12,b736c8bda6122b7f9f69cf0f52d80a23c3910bd8,2c443ab8b0efce5485f63eed62213091a188c993,2008-03-23 13:46:40 +0000,2008-03-28 20:06:54 +0000,MATH-200,https://issues.apache.org/jira/browse/MATH-200
13,2d5f1b0b767307634b01610cf529a771e390ef67,9232ea98fc333c8ede952406d3f70da8ae89682a,2008-04-27 16:00:39 +0000,2008-05-07 13:36:33 +0000,MATH-204,https://issues.apache.org/jira/browse/MATH-204
14,87e066ad31da8a3f92754e60cbd7b02a435d6188,6f4e48d42aa880e7ba49ff651aa701313e1aec31,2008-06-16 11:28:34 +0000,2008-06-17 19:09:36 +0000,MATH-209,https://issues.apache.org/jira/browse/MATH-209
15,7684119c582e734d10ba5acf72382dffdc89ae5a,e1e21f2f6895333304f6efe8272549d32ede20be,2008-09-14 16:38:11 +0000,2008-09-16 21:00:28 +0000,MATH-226,https://issues.apache.org/jira/browse/MATH-226
16,4564adbf19ebc6da19befcc7dbef310a00b4de13,dabf3a5beb9ab697d570154b9961078a8586c787,2009-01-06 03:46:29 +0000,2009-01-16 23:06:32 +0000,MATH-238,https://issues.apache.org/jira/browse/MATH-238
17,89db6968bc088e8ad3b74dda22ef08acdbf172b0,e4886c0a39944ba9fb7a2175cb2d1026747910e1,2009-01-18 21:09:42 +0000,2009-01-19 19:43:01 +0000,MATH-240,https://issues.apache.org/jira/browse/MATH-240
18,e8cfb4889e0bc0f9062d45068448a5e468f8203c,944446a1a8a3004ddd81298e0e922e4d47b99997,2009-01-19 23:40:14 +0000,2009-01-19 23:52:02 +0000,MATH-241,https://issues.apache.org/jira/browse/MATH-241
19,39a80bf2cda13f28b3430733e645b7fd13bb92ba,8bf548c5e83e067503d10f304d9f855ced1a449c,2009-02-21 13:36:08 +0000,2009-02-21 13:54:25 +0000,MATH-243,https://issues.apache.org/jira/browse/MATH-243
20,312b1ca42eb094de32a1a5cc961c9cb7e11d015e,99b46033f5ac900f7771305f6f0b0fe8c259e318,2009-03-29 16:33:53 +0000,2009-03-29 16:51:48 +0000,MATH-252,https://issues.apache.org/jira/browse/MATH-252
21,ca9d46257a9d4026d790adec555096d453e3f629,ed813abf79e11a2c7ab7f2368acf8f3174db80e5,2009-06-02 18:53:23 +0000,2009-06-02 19:37:30 +0000,MATH-272,https://issues.apache.org/jira/browse/MATH-272
22,10cdc1066f9ae92219382bee25aeeac724298bc9,59434c2dce49e0104b4c7d51b7502e4eae7d2773,2009-06-02 21:02:14 +0000,2009-06-03 09:06:08 +0000,MATH-273,https://issues.apache.org/jira/browse/MATH-273
23,59434c2dce49e0104b4c7d51b7502e4eae7d2773,6b547ba222e6d70b0351cfd354e1d3497da9e24f,2009-06-03 09:06:08 +0000,2009-06-04 20:07:29 +0000,MATH-274,https://issues.apache.org/jira/browse/MATH-274
24,9cb0ca6b0fa639d30d9070f422de5a59c61eb86c,8fe6a83eb60b7b16cac065b68e60c637d64d5932,2009-08-07 01:16:00 +0000,2009-08-14 19:23:27 +0000,MATH-283,https://issues.apache.org/jira/browse/MATH-283
25,dbdff0758b40601238e88b2cffbf7ceb58ed8977,38983e820763c882e778c7d5c68b673fb45a210e,2009-08-21 23:07:42 +0000,2009-08-25 18:07:13 +0000,MATH-288,https://issues.apache.org/jira/browse/MATH-288
