bug.id,revision.id.buggy,revision.id.fixed,revision.date.fixed,report.id,report.url
1,783fea7e5484a7c4fa1d918fc10db3cf151b1e36,1f696bb27bd7045f6361f4ab6f131e60a7d52ee2,2012-11-26 10:34:50 +0000,NET-46,https://issues.apache.org/jira/browse/NET-46
2,eb6ec2e9874dd5b408f89a254aafa2626bf1038e,62e40452d71a4d7c0b6c237b905fa284c0e26363,2007-03-29 15:37:00 +0000,NET-155,https://issues.apache.org/jira/browse/NET-155
3,de60ce3803c67c2791d74e058495e008af3e5fac,eacb4eb812111f8cb8315b291e9b8e8115849270,2008-02-19 22:30:06 +0000,NET-170,https://issues.apache.org/jira/browse/NET-170
4,444d7f13d36b3bb19321bbd0c5cd39f280228eb0,a68542f4bcbf6d986a5eb62b3584230556c95bb5,2010-07-11 22:00:50 +0000,NET-180,https://issues.apache.org/jira/browse/NET-180
5,41fcf52a10bf31693aae21df5776d051f282002b,000e726af8464d94e7d02d307dde0e07e176d58c,2008-02-18 00:22:53 +0000,NET-182,https://issues.apache.org/jira/browse/NET-182
6,c71eb0cb6c0bca9f6bec144505f78c8f1e639013,4637434691d853d013daac0af1374cfcda3de031,2011-03-08 23:35:21 +0000,NET-185,https://issues.apache.org/jira/browse/NET-185
7,f06c2236c17b076666332e38f109f4cc766fe717,8f28a93ab1933356496a2fce1d7a6cd39a0dca50,2008-04-27 22:08:53 +0000,NET-216,https://issues.apache.org/jira/browse/NET-216
8,be5af473dca0fd652be1637d824d0baebb492947,4705df354608830db5d53e6dfb476b2b032e886c,2009-02-05 18:18:21 +0000,NET-232,https://issues.apache.org/jira/browse/NET-232
9,a4244f86bdafafb60f7fb63ced991a105d65f611,092aa892f11cb28324dcb0b57f19a220a8e65285,2009-02-05 01:11:02 +0000,NET-236,https://issues.apache.org/jira/browse/NET-236
10,e55d11446fa3a268a5653aa82d51fec2cf4cfbfc,a4244f86bdafafb60f7fb63ced991a105d65f611,2009-02-05 00:55:56 +0000,NET-242,https://issues.apache.org/jira/browse/NET-242
11,8a2c79cbe16865c44a1bfa6b9877b1b67913b102,1bf311737d015ac4ef840d75dd97964b9373aa19,2009-02-05 00:25:57 +0000,NET-250,https://issues.apache.org/jira/browse/NET-250
12,a4890ef33ef2ed94d04b1694fab8836574d35d77,ad1a51f03abbe85c6648c1b94d9ca440cb1d6966,2009-02-19 17:11:30 +0000,NET-257,https://issues.apache.org/jira/browse/NET-257
13,0a0a8eb0dc118f60ac7d9ee2953a2a756aba1f4f,ddd40b701b587c73c51d6b25e5a7422e622ff765,2009-03-19 21:36:02 +0000,NET-259,https://issues.apache.org/jira/browse/NET-259
14,b60e513e40d6b7464f33f1dc9127142d7c887373,baec3f0f99abd5d3f4f1d6b033aba0e39b323241,2010-05-11 00:05:11 +0000,NET-264,https://issues.apache.org/jira/browse/NET-264
15,ddd40b701b587c73c51d6b25e5a7422e622ff765,3687706250eede3c6f1906a3011d5adc9ea2a216,2009-03-19 22:00:45 +0000,NET-265,https://issues.apache.org/jira/browse/NET-265
16,c6444b862f931d70f3a8f7e79b4559a63f1b8eb4,a372f9ef0bb30e45cca52661974ed92cd48052ef,2011-03-02 21:47:08 +0000,NET-270,https://issues.apache.org/jira/browse/NET-270
17,44cec10c8d2683429a48565072098a89426ed27f,a29009716c694f44b5469735268f3397b57e0612,2009-04-23 03:23:57 +0000,NET-274,https://issues.apache.org/jira/browse/NET-274
18,7ddf77b60a9f65925d166a5e8b6fa2a7aeff6156,79a19d63165db326c918a9cb96c9f55f96fce359,2009-05-05 12:20:48 +0000,NET-277,https://issues.apache.org/jira/browse/NET-277
19,3141ea465ed0e8df367bc0a470486b30d3efffdb,5eaac875d5c9e4100ed92c72c7176c524ecdf01f,2009-06-02 21:17:05 +0000,NET-279,https://issues.apache.org/jira/browse/NET-279
20,ff71403dac8ae5b60b53f976d94afb728d514182,ee34b1dc39e3dee7a4157d2f812b456212f66c9b,2011-02-27 03:28:50 +0000,NET-289,https://issues.apache.org/jira/browse/NET-289
21,8b7d2897c8997b294d34fde8c16d954f9669ba36,cc8870db1014308fb6f426aa72ae697e25a6a199,2010-03-08 06:14:46 +0000,NET-300,https://issues.apache.org/jira/browse/NET-300
22,baec3f0f99abd5d3f4f1d6b033aba0e39b323241,b94a9e981799af5cd9856e63204c8f3b7b7e1555,2010-05-11 00:38:21 +0000,NET-302,https://issues.apache.org/jira/browse/NET-302
23,cc8870db1014308fb6f426aa72ae697e25a6a199,af63187f263d9926c564078d15eac90feae0159d,2010-03-08 08:53:34 +0000,NET-305,https://issues.apache.org/jira/browse/NET-305
24,3881667f046d89f380b189180f13648b7d8e2349,d79e555cc867a1ca6059ecacd0351c98dfb9b4fb,2011-03-21 03:00:27 +0000,NET-326,https://issues.apache.org/jira/browse/NET-326
25,e6f32804ec4d841fa3de29ee1d8267e52b453303,a009b96b6a39744e6c02ea036f1719ae74935424,2011-03-10 16:36:48 +0000,NET-327,https://issues.apache.org/jira/browse/NET-327
26,a213b442caa69bf5902c11e8545e11acfee6bf4a,9de4928a1860c043a8aec6a7bdf150650a33632f,2010-07-11 23:15:47 +0000,NET-328,https://issues.apache.org/jira/browse/NET-328
