bug.id,revision.id.buggy,revision.id.fixed,revision.date.buggy,revision.date.fixed,report.id,report.url
1,9b93e11daaa29542e930ff96d27bb955b0186fa9,efee85ae8aa91536ac650ba816d3edcc8bd8e7e1,2011-01-25 23:06:44 +0000,2011-01-25 23:23:18 +0000,OPENNLP-90,https://issues.apache.org/jira/browse/OPENNLP-90
2,112ea738148f1371a18b2a4d78f577bcc395c430,4991c2e7711929d185396135a69808455465c4c7,2011-02-23 23:04:12 +0000,2011-03-01 12:25:24 +0000,OPENNLP-138,https://issues.apache.org/jira/browse/OPENNLP-138
3,cea19fed19f0968f2458bac329b2506d4a0e8452,77611e5e80319a48e957f75f22050b40f27eab0a,2011-04-05 11:10:54 +0000,2011-04-05 17:50:57 +0000,OPENNLP-151,https://issues.apache.org/jira/browse/OPENNLP-151
4,197eeea2c6bb0e829cfc899c21f4509134ab4b9c,3acf8fb2b9bb43227676ad44542ea13ecbbe81d1,2011-04-26 07:30:39 +0000,2011-04-30 15:53:36 +0000,OPENNLP-161,https://issues.apache.org/jira/browse/OPENNLP-161
5,89a3922f1dbc496fdfd2f65776d7f877e78167c3,e0a90da15a87d3b99caf52db8e7d859c1f83621f,2011-06-08 04:39:32 +0000,2011-06-09 09:32:24 +0000,OPENNLP-201,https://issues.apache.org/jira/browse/OPENNLP-201
6,fdcd84e7444ae4cce65afa6ad4bb02e6e28e63a0,1b2c3d6a90ca3c2d73189301f5b7e918002efbd3,2011-06-09 22:03:44 +0000,2011-06-22 12:13:44 +0000,OPENNLP-203,https://issues.apache.org/jira/browse/OPENNLP-203
7,1b2c3d6a90ca3c2d73189301f5b7e918002efbd3,cd3bd12e4b544e178a1191865573f8cf28a338b3,2011-06-22 12:13:44 +0000,2011-06-24 11:35:08 +0000,OPENNLP-204,https://issues.apache.org/jira/browse/OPENNLP-204
8,a6ed80064c4747d59b1040504fda9e1300a5e003,7a1792112f3877366699a65e9d41f2c772e0fa72,2011-09-27 09:57:35 +0000,2011-09-28 11:37:49 +0000,OPENNLP-288,https://issues.apache.org/jira/browse/OPENNLP-288
9,1fff9c1588de42e28a759e8dbb399d95c537b8d9,25764ed91525625b402bddecf327d998d51dde41,2011-09-01 21:07:05 +0000,2011-09-02 08:33:00 +0000,OPENNLP-294,https://issues.apache.org/jira/browse/OPENNLP-294
10,25764ed91525625b402bddecf327d998d51dde41,6a51e7fc2cfd9f4e0a8e3591bbf586da2bee42cc,2011-09-02 08:33:00 +0000,2011-09-08 09:16:08 +0000,OPENNLP-295,https://issues.apache.org/jira/browse/OPENNLP-295
11,dab6c2b7aff1a90346d7ed02f5273451b4cfeae7,e35cf90d03abd5522c33801b5dac1f89c279a335,2011-10-06 18:05:37 +0000,2011-10-06 19:34:53 +0000,OPENNLP-316,https://issues.apache.org/jira/browse/OPENNLP-316
12,771e7860bdfff10c54c22dc1cfc31f1fc25ad161,72f57c784a0f589ac005da1873d78f8ff93343ae,2011-10-29 19:12:33 +0000,2011-10-31 23:53:22 +0000,OPENNLP-332,https://issues.apache.org/jira/browse/OPENNLP-332
13,2c1f9d132457b6dd91ddb97b65bb5c656e33a4e5,ce0400b710925754e6f7b3fde6419bbc401a62bf,2011-11-21 13:18:49 +0000,2011-11-21 13:20:21 +0000,OPENNLP-395,https://issues.apache.org/jira/browse/OPENNLP-395
14,08be2c3fff394561e07181a340c0de34fcab0392,96430056c5ccdab1694e944045fadd8128564434,2011-11-22 11:23:23 +0000,2011-11-23 10:01:01 +0000,OPENNLP-403,https://issues.apache.org/jira/browse/OPENNLP-403
15,495fc39665a25e43f732931642267ade14a981ba,8f34050e92f61934d0f8c829ec52dcf52a0cf98d,2012-01-20 04:20:25 +0000,2012-01-22 10:52:53 +0000,OPENNLP-418,https://issues.apache.org/jira/browse/OPENNLP-418
16,75bf4e6e7bc8923073aa981a07e0196d835d9e6b,cf96535806c9fd6ed6f048b865ead9dbc184d4ce,2012-02-08 09:23:49 +0000,2012-02-08 09:51:50 +0000,OPENNLP-427,https://issues.apache.org/jira/browse/OPENNLP-427
17,15de79726a2010bace52569c566850af72cfd0e4,6bd05f56de184cd58086cfe4eb767baad8afcd95,2012-03-18 15:28:41 +0000,2012-03-18 15:44:38 +0000,OPENNLP-452,https://issues.apache.org/jira/browse/OPENNLP-452
18,ef9a669e50ab5b8213f327aa5b189a927c4b48b1,eb26b4223a9b18ccf625d9c937bb13a1cf2fce41,2012-07-13 18:07:54 +0000,2012-07-15 15:17:27 +0000,OPENNLP-470,https://issues.apache.org/jira/browse/OPENNLP-470
19,3166a7354f154996274abd82e3369c9c61b35f8b,273c850db5c80cf96301dff33bb7bcf9f26e8f51,2012-03-15 14:00:32 +0000,2012-03-15 14:55:21 +0000,OPENNLP-474,https://issues.apache.org/jira/browse/OPENNLP-474
