bug.id,revision.id.buggy,revision.id.fixed,revision.date.fixed,report.id,report.url
1,2d8ebdbe00786823658bcdd2817e6b5afee15b25,5dffe3521588016cf3519792953b0879054c3bfd,2014-07-18 23:02:09 -0700,PARQUET-4,https://issues.apache.org/jira/browse/PARQUET-4
2,9c2fab441bb9f615e8d4c275016a54e9d2f03462,2d8ebdbe00786823658bcdd2817e6b5afee15b25,2014-07-16 13:50:29 +0100,PARQUET-9,https://issues.apache.org/jira/browse/PARQUET-9
3,f6c02e2c95a5c031ea3735737515e7e76b173ab2,fb0104896815d55183f61c24b78c277dbae3987e,2014-07-18 23:19:25 -0700,PARQUET-18,https://issues.apache.org/jira/browse/PARQUET-18
4,17864dfc0711d52d5af330469a1c2bd76128d46e,fc2c29df71c8455346a00b43dd1c4f118c335d2c,2014-07-29 17:15:42 -0700,PARQUET-19,https://issues.apache.org/jira/browse/PARQUET-19
5,45e581028ab60949b0303d4a0cfe4eee077bcce8,54bb983271adcbcc1519ab9e2288871d69093708,2014-08-20 21:02:01 -0700,PARQUET-62,https://issues.apache.org/jira/browse/PARQUET-62
6,f8b06df7a56f92f4bc7dd564ad7ec026e3b4f3da,647b8a70f9b7c94cabf9a7ec7bce2e7cbbb4c05b,2014-09-04 18:28:03 -0700,PARQUET-63,https://issues.apache.org/jira/browse/PARQUET-63
7,7af955a0ac0182deca139e4a15352ce702691dd4,7b415faaed09eba1103ea30577ef1a32fba7048c,2014-08-20 20:52:42 -0700,PARQUET-70,https://issues.apache.org/jira/browse/PARQUET-70
8,0eb96379518db4f84f7a95b651c6dc9a639cc9ac,59c58d0b829aa156f038cc900b803508f8849765,2014-09-23 19:14:17 -0700,PARQUET-82,https://issues.apache.org/jira/browse/PARQUET-82
9,501e8feac3fb60e794979e8445cf2ceebce94b04,9cdcf3bbdf8f772d3fadf388b2db048598c155e9,2014-09-22 18:11:08 -0700,PARQUET-94,https://issues.apache.org/jira/browse/PARQUET-94
10,59c58d0b829aa156f038cc900b803508f8849765,0c4f13a846b458e31cfcaafd8e83f0f4c1d04237,2014-09-25 17:12:58 -0700,PARQUET-101,https://issues.apache.org/jira/browse/PARQUET-101
11,bf20abbf4825fa5892d8e15c066e768671a39289,0b17cbee9541998df66d33c8a99b675ced80d9aa,2014-09-29 19:00:03 -0700,PARQUET-104,https://issues.apache.org/jira/browse/PARQUET-104
12,d105819a0e72765ff5ba4efa5622d727360ee2b8,3aa6f11785a2f1b3b09df328a02a2c28dfa0bb57,2014-11-20 17:19:25 -0800,PARQUET-114,https://issues.apache.org/jira/browse/PARQUET-114
13,d7dd228d01518f82cf1e81b6ad1f2d393ee063c5,e505e1fea57e0ab9f1d5edab92546d778a5f41e0,2015-01-30 01:29:06 -0800,PARQUET-124,https://issues.apache.org/jira/browse/PARQUET-124
14,92e6d716069686583b852a6dcf12af986d6dc694,251a495d2a72de7e892ade7f64980f51f2fcc0dd,2014-11-18 00:53:08 -0800,PARQUET-135,https://issues.apache.org/jira/browse/PARQUET-135
15,e505e1fea57e0ab9f1d5edab92546d778a5f41e0,b4380f20059dc9e4ccfe2b709587e8069ac0fa34,2015-01-30 01:31:04 -0800,PARQUET-142,https://issues.apache.org/jira/browse/PARQUET-142
16,ccc29e4dde24584118211f27c71bb01bacc39326,b7a82a918f0a595a96047f7eef2672fd95d5626c,2014-12-11 22:01:27 -0800,PARQUET-145,https://issues.apache.org/jira/browse/PARQUET-145
17,33a2202603e27132fdfff21c902cf07b0ff12073,4b5cda5a2c6ca613db5129d50ffffce2604ad9eb,2015-06-01 21:21:53 -0700,PARQUET-151,https://issues.apache.org/jira/browse/PARQUET-151
18,c334a1bca8338c92e76f0f1cf2ef4884e3eb5dbd,013b445ede8d9e7aad4915859d0c869b9b712f8d,2015-07-03 17:51:34 -0700,PARQUET-152,https://issues.apache.org/jira/browse/PARQUET-152
19,b4380f20059dc9e4ccfe2b709587e8069ac0fa34,32a9c6d42a3a48314d3f9fe2956bfc8bf49ac5d5,2015-01-30 01:32:54 -0800,PARQUET-157,https://issues.apache.org/jira/browse/PARQUET-157
20,3df3372a1ee7b6ea74af89f53a614895b8078609,80417356f04c5ee1cd6f636e9b043db3f2de24f2,2015-02-03 20:53:37 -0800,PARQUET-173,https://issues.apache.org/jira/browse/PARQUET-173
21,c82f703768eb8a122546de23e412a037aa1770b2,36a02dc549f32433d7329444455dbb1be2e67f20,2015-03-04 20:35:40 -0800,PARQUET-188,https://issues.apache.org/jira/browse/PARQUET-188
22,412ab9669810921d04f9feabfbeafa906d4de506,46448e934250705b6ebd6f21caa09698d611dbfd,2015-06-24 20:58:04 -0700,PARQUET-201,https://issues.apache.org/jira/browse/PARQUET-201
23,0ab0013522df1dc03a68bce6e7539bbfd0ea67d9,4ed0bdf1c73fd82d3080d15085675de96d5be0aa,2015-03-31 23:49:30 -0700,PARQUET-214,https://issues.apache.org/jira/browse/PARQUET-214
24,b58789c5badc4f9680ec5724568af05a84670e22,77826fda8751bd5c0acbca5d0c3887e9a6b10f65,2015-03-12 21:25:13 -0700,PARQUET-215,https://issues.apache.org/jira/browse/PARQUET-215
25,77826fda8751bd5c0acbca5d0c3887e9a6b10f65,9ee3a16179cb65f5fe4170257ab7cde558f1dbeb,2015-03-13 19:54:58 -0700,PARQUET-217,https://issues.apache.org/jira/browse/PARQUET-217
26,4950ad86a16e63fa26d51cd709e39666008c5fbc,f272a6e96f0fe80b0c2b4643836006d840d5aa8a,2015-04-07 20:12:55 -0700,PARQUET-234,https://issues.apache.org/jira/browse/PARQUET-234
27,ff7a4863152a4d3873ea038af73024e9999426ac,4950ad86a16e63fa26d51cd709e39666008c5fbc,2015-04-07 16:43:55 -0700,PARQUET-242,https://issues.apache.org/jira/browse/PARQUET-242
28,e6ee42e9bca274b59c42f134f4c71d14ab6ed8a6,e3b95020f777eb5e0651977f654c1662e3ea1f29,2015-07-01 01:34:48 -0700,PARQUET-251,https://issues.apache.org/jira/browse/PARQUET-251
29,46448e934250705b6ebd6f21caa09698d611dbfd,5c2ba72f9b4897d4441eff34ff0591e74a1d94bb,2015-06-24 23:02:30 -0700,PARQUET-284,https://issues.apache.org/jira/browse/PARQUET-284
30,29283b775291bf03cd9a7e1aaa496faaa5757578,89321a2dee438328e75a11954e972175c78f0a2a,2015-06-22 21:28:42 -0700,PARQUET-311,https://issues.apache.org/jira/browse/PARQUET-311
31,079bcd0339f30343c01c5fd3d5521be4b822d30f,29283b775291bf03cd9a7e1aaa496faaa5757578,2015-06-22 19:37:37 -0700,PARQUET-314,https://issues.apache.org/jira/browse/PARQUET-314
32,1f3e72fa069536ae20f37b29575288ff65e66803,e6ee42e9bca274b59c42f134f4c71d14ab6ed8a6,2015-06-30 18:00:37 -0700,PARQUET-316,https://issues.apache.org/jira/browse/PARQUET-316
