bug.id,revision.id.buggy,revision.id.fixed,revision.date.buggy,revision.date.fixed,report.id,report.url
1,83b431e47c3b9fb9ddd723ba7afd2736ff3aaa47,2bff4be4f58a70359154b9b5752074586ff3c852,2006-07-30 04:24:58 +0000,2006-08-07 23:53:33 +0000,SCXML-14,https://issues.apache.org/jira/browse/SCXML-14
2,7cfd3fadc54993eedf39900e16f03bfe653a9b2f,fce1781851482aeb222055b88d3d211711332661,2006-12-12 22:11:41 +0000,2006-12-13 21:49:37 +0000,SCXML-16,https://issues.apache.org/jira/browse/SCXML-16
3,18382e40fce72c3012467787ef8ea92a5873a9bf,db1e09c815847d5d11d063bb925af61e1784ac40,2006-10-11 19:05:57 +0000,2006-10-17 17:07:55 +0000,SCXML-21,https://issues.apache.org/jira/browse/SCXML-21
4,9fa0f41329a348ec7739a35f4bde25e4c53a0386,0bea61856040da5f82b48d1279daeaf48a197e0a,2007-04-25 21:11:39 +0000,2007-05-29 16:31:02 +0000,SCXML-45,https://issues.apache.org/jira/browse/SCXML-45
5,aeebe99c7bd82064184db562bb149b421a5efb1e,d62cd6d15ed547393bfc1d60bda14c9d113c5133,2007-06-15 22:26:50 +0000,2007-06-26 20:58:10 +0000,SCXML-48,https://issues.apache.org/jira/browse/SCXML-48
6,224c4cec16766e783542f98293e133c6302f5cc3,5b1aaeff19ba38e6f80ebef41fb86f00843fab31,2007-08-05 21:10:51 +0000,2007-08-06 21:38:03 +0000,SCXML-49,https://issues.apache.org/jira/browse/SCXML-49
7,347560292188be15df12469722e1ef05b9372343,a4a7e5eade3fbe27c3852feaf9f51193196b187c,2007-07-27 17:52:04 +0000,2007-07-27 20:57:40 +0000,SCXML-51,https://issues.apache.org/jira/browse/SCXML-51
8,faacf9da6d41b346c73a71393ac4a7c7eacf22fd,7a40cd30e35e0117c21800914d27307cb24a5241,2007-12-04 03:57:35 +0000,2007-12-04 21:58:33 +0000,SCXML-58,https://issues.apache.org/jira/browse/SCXML-58
9,d963bcb79495a35227a4d34f1b4b2b7665bfdd28,f9641fae3def8457ac754e657045fe8cd1456d62,2007-12-04 03:45:02 +0000,2007-12-04 03:56:17 +0000,SCXML-60,https://issues.apache.org/jira/browse/SCXML-60
10,51f590b5f7bb15439d2baf70a4c3778f063966f6,3cafe820ce22f6607e64fddf046d2712766e1530,2008-11-14 23:43:16 +0000,2008-11-18 22:32:57 +0000,SCXML-82,https://issues.apache.org/jira/browse/SCXML-82
11,02dcf895d1118678d426ecac747bb4ca34715d52,4df94c02a53b17f8b27d591ae9feb6fcc24fc5e7,2013-11-01 21:27:46 +0000,2013-11-08 03:53:58 +0000,SCXML-160,https://issues.apache.org/jira/browse/SCXML-160
12,1083ae807bb9456d8e9acf2bdb7d7d6dcbf15a16,e65c1a25744e1406a6ae013bfa43c81003714218,2013-11-28 05:59:10 +0000,2013-11-28 06:46:24 +0000,SCXML-167,https://issues.apache.org/jira/browse/SCXML-167
13,140249fa27fe4aa53322304dffc30a653a27e57f,1083ae807bb9456d8e9acf2bdb7d7d6dcbf15a16,2013-11-28 04:30:42 +0000,2013-11-28 05:59:10 +0000,SCXML-178,https://issues.apache.org/jira/browse/SCXML-178
14,745885cc88a53a65378bfadf34cbab15a951c319,6aa36d77b79482839e2cc1aa7e5aa8927bd04140,2013-12-03 03:29:22 +0000,2013-12-04 14:36:26 +0000,SCXML-180,https://issues.apache.org/jira/browse/SCXML-180
15,78d1a1e3090f41e56acd8fc50a4d990f4aeb914d,dcf5c40f880c86d800a4563dd203e5fb89f3cd8e,2014-04-07 00:55:56 +0000,2014-04-18 12:00:54 +0000,SCXML-202,https://issues.apache.org/jira/browse/SCXML-202
16,dcf5c40f880c86d800a4563dd203e5fb89f3cd8e,07ad5e56818b6937986a1327fdf13102f9baad61,2014-04-18 12:00:54 +0000,2014-04-21 19:36:00 +0000,SCXML-203,https://issues.apache.org/jira/browse/SCXML-203
17,757057addf72d587387055dd964ecb2a562a2cc3,4e1f4861a7946ddae28b164f8ad680e28388fb78,2014-09-01 15:44:30 +0000,2014-09-01 21:12:13 +0000,SCXML-205,https://issues.apache.org/jira/browse/SCXML-205
18,f7a651b096d56484d44a704fa714c2ad712f8f2f,9b71bf1406e0eb9892915542232211ef47602227,2014-10-10 07:13:29 +0000,2014-10-11 11:06:42 +0000,SCXML-211,https://issues.apache.org/jira/browse/SCXML-211
19,be38c1853ffb59825df763d61239992b9aff9127,06104090a6edc145cbdc2858ca224c12cbf66aec,2015-02-13 23:51:13 +0000,2015-04-09 03:43:19 +0000,SCXML-227,https://issues.apache.org/jira/browse/SCXML-227
20,67bd8cc4e23bc3d6a7d678f8bab7a101ff1ff6ca,046f547b562ba2df5bc03f9a5c0125840a39cb2f,2015-07-12 14:59:24 -0400,2015-07-12 17:09:00 -0400,SCXML-233,https://issues.apache.org/jira/browse/SCXML-233
21,b6b7837495fad97ba318e3759f07f2891fd74d04,29402ee9790273d3957f70bfe9b281d3630d2f38,2016-01-02 15:17:46 +0100,2016-01-02 20:51:31 +0100,SCXML-239,https://issues.apache.org/jira/browse/SCXML-239
22,5155f49df062171fec0a73480485926c1b428e2c,8233b90eb074a0d04c503bc0e23376d4cddf02a4,2017-12-10 03:12:11 +0100,2017-12-10 03:24:34 +0100,SCXML-260,https://issues.apache.org/jira/browse/SCXML-260
