bug.id,revision.id.buggy,revision.id.fixed,revision.date.fixed,report.id,report.url
1,0a3b10406817e7661afe8402e6035de6ddcfb943,876d1c92516a46a0c25aacd2c4aabba9f7732cf8,2006-05-25 19:51:59 +0000,VFS-50,https://issues.apache.org/jira/browse/VFS-50
2,57b94c009f937a839b09a5afbcd3cafb9dd02d08,0cee98d0e31548ca8d2ec48b4f754815ff10f6f3,2006-12-09 07:42:06 +0000,VFS-69,https://issues.apache.org/jira/browse/VFS-69
3,168fe1d67d96f37410ddce04f9bc08ba63ca2227,e9f926a4bdc395b999f78dc76abef222849b9523,2006-10-02 18:49:41 +0000,VFS-73,https://issues.apache.org/jira/browse/VFS-73
4,1bc6abce5296a9b284c8ec32169ab4607d62e6a3,9fc99ec59cd3cc24d7ffce8ed562cdbf87c71e2a,2006-10-03 19:49:25 +0000,VFS-76,https://issues.apache.org/jira/browse/VFS-76
5,165f3ab15b5317b9c0bdb721dd70fe09461182c9,ade32ac54654a63b461868ea3e020f5228b89a48,2006-10-03 19:10:37 +0000,VFS-78,https://issues.apache.org/jira/browse/VFS-78
6,c989b602a0d56ee3356f76f5b74d415dc5b314ba,c331b8c33d4b7983b548faf3b556cbb4e30929d0,2006-10-02 19:46:01 +0000,VFS-81,https://issues.apache.org/jira/browse/VFS-81
7,c331b8c33d4b7983b548faf3b556cbb4e30929d0,c1d5da98ca97ad36ce3ffdb249df08f85f9929b9,2006-10-02 19:51:02 +0000,VFS-82,https://issues.apache.org/jira/browse/VFS-82
8,c1d5da98ca97ad36ce3ffdb249df08f85f9929b9,8e7187bdd80de6416d713988aae6f1845aaaf36a,2006-10-02 19:52:32 +0000,VFS-83,https://issues.apache.org/jira/browse/VFS-83
9,9fc99ec59cd3cc24d7ffce8ed562cdbf87c71e2a,70abf1063461a6eb4af872387f79ac07abb7c6e1,2006-10-06 05:37:21 +0000,VFS-93,https://issues.apache.org/jira/browse/VFS-93
10,c435354f3e1e8753abcdc6156e16d0a2c6b179da,b49d62d8196a5f6288ee49fc29eca1804a1f2a6c,2007-03-19 20:17:42 +0000,VFS-107,https://issues.apache.org/jira/browse/VFS-107
11,f065fac2892219ffbd1aeaf9eb355ab3e3db8626,3cc47405994e2be519eabc24103ae89bd51dc262,2007-03-19 19:41:43 +0000,VFS-111,https://issues.apache.org/jira/browse/VFS-111
12,3cc47405994e2be519eabc24103ae89bd51dc262,d57060f6a7a345be121bb2f3b17bcb7a5292d87b,2007-03-19 19:47:13 +0000,VFS-112,https://issues.apache.org/jira/browse/VFS-112
13,d57060f6a7a345be121bb2f3b17bcb7a5292d87b,c435354f3e1e8753abcdc6156e16d0a2c6b179da,2007-03-19 19:51:36 +0000,VFS-113,https://issues.apache.org/jira/browse/VFS-113
14,527e61a62509259f5f232162719985a7e43468b7,15fe9a9eb6966237dc42dac1223ac0689fd13495,2009-08-18 12:04:08 +0000,VFS-126,https://issues.apache.org/jira/browse/VFS-126
15,fb7dcb75230f8b48e3b3931c182f896282c91baa,c830b993cbbfd460138ee3ce846e820a911d6a07,2007-05-14 05:54:12 +0000,VFS-134,https://issues.apache.org/jira/browse/VFS-134
16,77c80c98674870a136f1087cbafb7658c1f1b4ae,9c95a92a5a515ddc6abe9e8efa0927d9489961cf,2007-05-14 13:31:48 +0000,VFS-138,https://issues.apache.org/jira/browse/VFS-138
17,c7046f6a778f11b1b23d3af39de72b24a3bf8f7f,101315cfc9996e6a50665b118eb3c40d7c6fabca,2007-05-14 14:00:08 +0000,VFS-140,https://issues.apache.org/jira/browse/VFS-140
18,50f831cdcfa0c30a5c4403d77c363dc56de11e0f,ebfa9238effab582f48400c371a4b8c07e8d3bf3,2014-11-17 22:12:13 +0000,VFS-142,https://issues.apache.org/jira/browse/VFS-142
19,4334624e46a1fd6b51e7226a75e16fb3e6d76cb5,e1e03c7b41650f1647c87f3f98a90db2f46d52eb,2007-05-14 18:17:52 +0000,VFS-143,https://issues.apache.org/jira/browse/VFS-143
20,e1e03c7b41650f1647c87f3f98a90db2f46d52eb,c263cabec40901ce653bc1de8e1235adda1b855b,2007-05-14 18:19:47 +0000,VFS-144,https://issues.apache.org/jira/browse/VFS-144
21,ede2dc0b1464cd90bafc39b00a6d150a97f38b65,e19d7a521c184c521aa31ccc2f72de3775541210,2007-08-10 18:34:26 +0000,VFS-172,https://issues.apache.org/jira/browse/VFS-172
