bug.id,revision.id.buggy,revision.id.fixed,revision.date.buggy,revision.date.fixed,report.id,report.url
1,df2c4f0a571b3ebaafe5daa9f47fc46b4ec6ad2c,c502cb1a0323c0bb6b4a2b5b79bbba6f9c7c134c,2005-08-01 23:29:30 +0000,2005-08-05 13:51:34 +0000,WSS-12,https://issues.apache.org/jira/browse/WSS-12
2,11ad4d5e8e8bdf4fb49bd36003c710b2bd20f88b,0bbe24e78423fb6495bb7d48390e6e8d6f121aae,2005-08-15 13:37:02 +0000,2005-08-15 13:37:46 +0000,WSS-16,https://issues.apache.org/jira/browse/WSS-16
3,7339109fe40de4a8cae8e46867a7f06d486e6a11,8d01dd6a9738ba59cd52ca6597bfd16da4daf40a,2006-01-26 15:52:06 +0000,2006-01-26 15:56:04 +0000,WSS-32,https://issues.apache.org/jira/browse/WSS-32
4,844d06955aac91b5fc3f7438cd4973243795f19c,60787067b0d53a9b16bfeef1f052f3105c1b724e,2006-05-23 13:21:06 +0000,2006-06-06 08:25:30 +0000,WSS-44,https://issues.apache.org/jira/browse/WSS-44
5,786f3bfd637edabbe9f961f5555292422f944030,0e2b05ffd70dc313a4d43ff9291d64d6eaef368b,2006-08-20 01:16:39 +0000,2006-08-21 09:11:34 +0000,WSS-48,https://issues.apache.org/jira/browse/WSS-48
6,83667560c66454e2a88730cc466e58b7ae4faea2,81483c15843b423080cfb1fa246654885d78a96b,2006-11-27 08:46:45 +0000,2006-11-30 14:19:15 +0000,WSS-50,https://issues.apache.org/jira/browse/WSS-50
7,a034f0f588873263b0cb0d1c181ce7cf91be72ce,d4c6f6c7cc6d90e7bf3a5c89acd4abdfed5aeecb,2008-02-13 12:36:24 +0000,2008-02-20 22:14:11 +0000,WSS-51,https://issues.apache.org/jira/browse/WSS-51
8,4d4dbb25e6b3199d2bb259485414952cacbbcf05,abd66979f9bf18057889204568938ad46b671d08,2008-04-17 14:49:30 +0000,2008-04-17 14:51:31 +0000,WSS-52,https://issues.apache.org/jira/browse/WSS-52
9,82cdd787e86c5ffa865ff8294407197586a8b7ac,95651ec083ffd5b831667220f69b669d6d5acc3b,2006-08-29 17:23:34 +0000,2006-08-30 12:47:07 +0000,WSS-53,https://issues.apache.org/jira/browse/WSS-53
10,280214f07669fc3701ec77bd08015eddcb0471de,8072a69b196286efbe0101f87ee45180cfbf3712,2006-12-06 08:42:01 +0000,2006-12-29 14:30:01 +0000,WSS-55,https://issues.apache.org/jira/browse/WSS-55
11,3579fab22b2ffb38fae3ce6a281734ab34cd4b15,5d687eec15a7b35933a57535c13e00cdc25181e1,2006-11-19 06:21:08 +0000,2006-11-19 07:30:18 +0000,WSS-58,https://issues.apache.org/jira/browse/WSS-58
12,bbc42ae67c8d89a57595cc2e5036e3ef8e0db64b,d78cc32bea28446800681f9d4d2aef58a5faa2c6,2008-12-22 10:40:22 +0000,2008-12-22 12:31:02 +0000,WSS-60,https://issues.apache.org/jira/browse/WSS-60
13,81483c15843b423080cfb1fa246654885d78a96b,1655adb09c9be5426a280282e25165fc612450da,2006-11-30 14:19:15 +0000,2006-11-30 14:44:19 +0000,WSS-61,https://issues.apache.org/jira/browse/WSS-61
14,8df66f50ed894ed0020494414fea815abe84ba00,d031cc186c5306b4efb39f884415c0a4cd749772,2008-12-19 11:50:10 +0000,2008-12-19 16:40:14 +0000,WSS-62,https://issues.apache.org/jira/browse/WSS-62
15,34d436bd388eea2c67be2b00d0399da82069fb5c,89a02f370119622316d0d60c59c8e6ef1a978a0a,2008-04-11 18:40:21 +0000,2008-04-11 18:51:20 +0000,WSS-66,https://issues.apache.org/jira/browse/WSS-66
16,9d57f8a5bfa28cfb0d66500a71ff39f3ea069434,9abbd06e38405f6176de12b3964b68a39f3300be,2008-04-04 21:12:12 +0000,2008-04-09 18:46:56 +0000,WSS-70,https://issues.apache.org/jira/browse/WSS-70
17,62a3884f480d7c87f79128cb751987461e1c56cc,f519df4a5c3e675203df747b8e1626bc64b26feb,2007-02-23 13:18:23 +0000,2007-03-05 15:34:44 +0000,WSS-72,https://issues.apache.org/jira/browse/WSS-72
18,98c730572343d2cbd351ef1a24460a2ef51e4d77,78b04449a2d8a1e554d5efe2d9d41032a9ce2ca8,2007-07-15 20:50:44 +0000,2007-08-08 01:12:48 +0000,WSS-77,https://issues.apache.org/jira/browse/WSS-77
19,6c3981424d1557fde6fe88b6740cf65a6292511e,33a22319878b598a1b04911e5d9d09fc5a7b540e,2007-09-06 14:15:38 +0000,2007-10-05 11:29:43 +0000,WSS-89,https://issues.apache.org/jira/browse/WSS-89
20,4f4b95e121b7d0df1e99ffaf0066b5d5625433eb,349c010f966f5e69b878d4c3d6936f0098516d09,2008-04-10 17:21:59 +0000,2008-04-10 21:05:50 +0000,WSS-93,https://issues.apache.org/jira/browse/WSS-93
